Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
10.03.;aufsteigend;2;7;8;12;14;29;ZZ;19;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          27.079,90;5er;             133;à;             888,40;4er + ZZ;             357;à;              99,30;
10.03.;;;;;;;;;;4er;           5.890;à;              33,40;3er + ZZ;           8.027;à;              11,00;3er;          82.133;à;               4,30;ZZ;         198.549;à;               1,20;
13.03.;aufsteigend;4;25;30;33;34;43;ZZ;12;6er;JP;;         665.139,00;5er + ZZ;               1;à;          91.456,60;5er;              65;à;           1.534,90;4er + ZZ;             176;à;             170,00;
13.03.;;;;;;;;;;4er;           3.098;à;              53,60;3er + ZZ;           4.484;à;              16,60;3er;          51.542;à;               5,80;ZZ;         197.820;à;               1,20;
17.03.;aufsteigend;12;15;19;22;37;39;ZZ;27;6er;DJP;;       1.615.454,80;5er + ZZ;               1;à;         130.668,40;5er;              89;à;           1.601,60;4er + ZZ;             284;à;             150,50;
17.03.;;;;;;;;;;4er;           4.602;à;              51,60;3er + ZZ;           7.955;à;              13,40;3er;          78.604;à;               5,40;ZZ;         266.604;à;               1,20;
20.03.;aufsteigend;8;11;12;17;23;24;ZZ;20;6er;3JP;;       2.597.440,70;5er + ZZ;               8;à;          16.877,80;5er;             142;à;           1.037,30;4er + ZZ;             372;à;             118,70;
20.03.;;;;;;;;;;4er;           6.712;à;              36,50;3er + ZZ;           8.435;à;              13,00;3er;          99.586;à;               4,40;ZZ;         242.931;à;               1,20;
24.03.;aufsteigend;8;12;22;28;38;44;ZZ;25;6er;               2;à;       1.911.857,70;5er + ZZ;               3;à;          56.204,20;5er;             174;à;           1.057,10;4er + ZZ;             355;à;             155,40;
24.03.;;;;;;;;;;4er;           7.149;à;              42,80;3er + ZZ;           8.679;à;              15,80;3er;         111.609;à;               4,90;ZZ;         304.207;à;               1,20;
27.03.;aufsteigend;7;20;27;32;43;44;ZZ;30;6er;               2;à;         500.000,00;5er + ZZ;               2;à;          45.624,80;5er;              62;à;           1.605,50;4er + ZZ;             142;à;             210,30;
27.03.;;;;;;;;;;4er;           3.262;à;              50,80;3er + ZZ;           4.354;à;              17,10;3er;          56.135;à;               5,30;ZZ;         168.615;à;               1,20;
31.03.;aufsteigend;4;11;20;22;23;40;ZZ;35;6er;JP;;         756.371,00;5er + ZZ;               3;à;          34.667,00;5er;              99;à;           1.146,00;4er + ZZ;             245;à;             138,90;
31.03.;;;;;;;;;;4er;           4.293;à;              44,00;3er + ZZ;           5.337;à;              15,90;3er;          70.007;à;               4,80;ZZ;         183.928;à;               1,20;
03.04.;aufsteigend;2;6;10;14;34;38;ZZ;28;6er;DJP;;       1.570.747,10;5er + ZZ;               5;à;          22.395,30;5er;             107;à;           1.141,60;4er + ZZ;             306;à;             119,70;
03.04.;;;;;;;;;;4er;           4.547;à;              44,70;3er + ZZ;           6.769;à;              13,50;3er;          72.424;à;               5,00;ZZ;         216.105;à;               1,20;
07.04.;aufsteigend;7;9;22;28;31;38;ZZ;15;6er;3JP;;       2.616.700,40;5er + ZZ;               4;à;          35.954,60;5er;             123;à;           1.275,50;4er + ZZ;             326;à;             144,30;
07.04.;;;;;;;;;;4er;           5.725;à;              45,60;3er + ZZ;           7.932;à;              14,80;3er;          94.233;à;               5,00;ZZ;         269.135;à;               1,20;
10.04.;aufsteigend;3;14;26;27;28;30;ZZ;20;6er;               1;à;       3.744.927,90;5er + ZZ;               5;à;          31.026,20;5er;             156;à;           1.084,80;4er + ZZ;             355;à;             143,00;
10.04.;;;;;;;;;;4er;           6.724;à;              41,90;3er + ZZ;           8.427;à;              15,00;3er;         106.373;à;               4,70;ZZ;         285.366;à;               1,20;
14.04.;aufsteigend;8;19;24;29;44;45;ZZ;12;6er;JP;;         745.054,40;5er + ZZ;               3;à;          34.148,30;5er;              89;à;           1.255,70;4er + ZZ;             260;à;             128,90;
14.04.;;;;;;;;;;4er;           3.763;à;              49,40;3er + ZZ;           6.309;à;              13,20;3er;          62.467;à;               5,30;ZZ;         207.305;à;               1,20;
17.04.;aufsteigend;4;16;17;18;37;42;ZZ;10;6er;DJP;;       1.546.328,00;5er + ZZ;               3;à;          36.725,00;5er;              71;à;           1.692,80;4er + ZZ;             246;à;             146,50;
17.04.;;;;;;;;;;4er;           4.001;à;              50,00;3er + ZZ;           5.597;à;              16,10;3er;          65.650;à;               5,50;ZZ;         237.723;à;               1,20;
21.04.;aufsteigend;2;5;25;28;35;37;ZZ;39;6er;               1;à;       2.579.792,10;5er + ZZ;               3;à;          47.367,10;5er;             105;à;           1.476,30;4er + ZZ;             304;à;             152,90;
21.04.;;;;;;;;;;4er;           5.027;à;              51,30;3er + ZZ;           6.999;à;              16,60;3er;          87.129;à;               5,30;ZZ;         268.874;à;               1,20;
24.04.;aufsteigend;5;13;20;26;31;40;ZZ;43;6er;JP;;         577.949,70;5er + ZZ;               1;à;          79.468,00;5er;              68;à;           1.274,80;4er + ZZ;             129;à;             201,60;
24.04.;;;;;;;;;;4er;           2.980;à;              48,40;3er + ZZ;           3.759;à;              17,20;3er;          49.874;à;               5,20;ZZ;         141.254;à;               1,20;
28.04.;aufsteigend;7;8;9;14;25;33;ZZ;6;6er;DJP;;       1.458.912,20;5er + ZZ;               3;à;          40.377,40;5er;              95;à;           1.390,90;4er + ZZ;             299;à;             132,50;
28.04.;;;;;;;;;;4er;           5.084;à;              43,30;3er + ZZ;           7.716;à;              12,80;3er;          82.210;à;               4,80;ZZ;         236.761;à;               1,20;
01.05.;aufsteigend;4;7;24;28;36;40;ZZ;21;6er;               1;à;       2.317.853,20;5er + ZZ;               1;à;         118.104,30;5er;              92;à;           1.400,40;4er + ZZ;             284;à;             136,00;
01.05.;;;;;;;;;;4er;           4.640;à;              46,20;3er + ZZ;           6.756;à;              14,30;3er;          76.129;à;               5,10;ZZ;         231.513;à;               1,20;
05.05.;aufsteigend;3;4;10;24;33;34;ZZ;23;6er;JP;;         759.795,80;5er + ZZ;               2;à;          52.235,90;5er;              82;à;           1.389,80;4er + ZZ;             218;à;             156,80;
05.05.;;;;;;;;;;4er;           4.243;à;              44,70;3er + ZZ;           5.917;à;              14,40;3er;          71.603;à;               4,80;ZZ;         190.212;à;               1,20;
08.05.;aufsteigend;23;28;32;35;39;40;ZZ;30;6er;               1;à;       1.573.250,70;5er + ZZ;JP;;         111.850,00;5er;              95;à;           1.284,40;4er + ZZ;             215;à;             170,20;
08.05.;;;;;;;;;;4er;           4.283;à;              47,40;3er + ZZ;           5.417;à;              16,80;3er;          68.656;à;               5,30;ZZ;         217.109;à;               1,20;
12.05.;aufsteigend;7;12;20;33;38;41;ZZ;23;6er;               2;à;         500.000,00;5er + ZZ;               2;à;         107.589,80;5er;              93;à;           1.212,00;4er + ZZ;             294;à;             115,00;
12.05.;;;;;;;;;;4er;           4.038;à;              46,50;3er + ZZ;           5.649;à;              14,90;3er;          64.409;à;               5,20;ZZ;         193.602;à;               1,20;
15.05.;aufsteigend;4;5;12;24;26;27;ZZ;45;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          21.486,90;5er;             112;à;             837,10;4er + ZZ;             203;à;             138,50;
15.05.;;;;;;;;;;4er;           4.680;à;              33,30;3er + ZZ;           4.817;à;              14,50;3er;          67.400;à;               4,10;ZZ;         152.990;à;               1,20;
19.05.;aufsteigend;5;7;23;27;31;34;ZZ;38;6er;JP;;         706.767,40;5er + ZZ;               1;à;          97.180,50;5er;              96;à;           1.104,30;4er + ZZ;             191;à;             166,50;
19.05.;;;;;;;;;;4er;           4.395;à;              40,20;3er + ZZ;           4.840;à;              16,40;3er;          68.099;à;               4,60;ZZ;         162.988;à;               1,20;
22.05.;aufsteigend;19;26;28;35;38;43;ZZ;18;6er;               2;à;         736.775,20;5er + ZZ;JP;;         105.432,60;5er;             105;à;           1.095,40;4er + ZZ;             214;à;             161,20;
