Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
17.09.;aufsteigend;2;11;15;29;32;44;ZZ;3;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          27.968,20;5er;             128;à;             953,40;4er + ZZ;             226;à;             162,00;
17.09.;;;;;;;;;;4er;           4.586;à;              44,30;3er + ZZ;           6.440;à;              14,20;3er;          70.360;à;               5,20;ZZ;         247.892;à;               1,20;
20.09.;aufsteigend;2;7;11;18;20;24;ZZ;42;6er;JP;;         681.111,50;5er + ZZ;               1;à;          93.652,80;5er;             121;à;             844,30;4er + ZZ;             190;à;             161,30;
20.09.;;;;;;;;;;4er;           4.640;à;              36,60;3er + ZZ;           4.628;à;              16,50;3er;          68.300;à;               4,50;ZZ;         165.128;à;               1,20;
24.09.;aufsteigend;1;12;31;32;38;43;ZZ;27;6er;DJP;;       1.672.923,80;5er + ZZ;               5;à;          27.274,80;5er;              72;à;           2.066,20;4er + ZZ;             242;à;             184,40;
24.09.;;;;;;;;;;4er;           4.330;à;              57,20;3er + ZZ;           6.338;à;              17,60;3er;          74.791;à;               6,00;ZZ;         293.798;à;               1,20;
27.09.;aufsteigend;9;26;32;35;37;43;ZZ;18;6er;               1;à;       2.701.040,40;5er + ZZ;               3;à;          47.122,00;5er;             109;à;           1.414,80;4er + ZZ;             294;à;             157,30;
27.09.;;;;;;;;;;4er;           5.258;à;              48,80;3er + ZZ;           6.951;à;              16,60;3er;          85.766;à;               5,40;ZZ;         264.038;à;               1,20;
01.10.;aufsteigend;4;6;16;18;24;38;ZZ;1;6er;JP;;         831.545,90;5er + ZZ;               2;à;          57.168,70;5er;              79;à;           1.578,80;4er + ZZ;             245;à;             152,70;
01.10.;;;;;;;;;;4er;           4.470;à;              46,50;3er + ZZ;           6.343;à;              14,70;3er;          74.037;à;               5,00;ZZ;         219.953;à;               1,20;
04.10.;aufsteigend;14;26;32;33;36;37;ZZ;40;6er;DJP;;       1.827.744,40;5er + ZZ;               3;à;          45.659,10;5er;             103;à;           1.450,70;4er + ZZ;             264;à;             169,80;
04.10.;;;;;;;;;;4er;           4.720;à;              52,70;3er + ZZ;           6.585;à;              17,00;3er;          79.106;à;               5,60;ZZ;         250.505;à;               1,20;
08.10.;aufsteigend;10;13;26;34;37;45;ZZ;6;6er;3JP;;       3.057.935,20;5er + ZZ;               3;à;          56.383,70;5er;             138;à;           1.337,10;4er + ZZ;             376;à;             147,20;
08.10.;;;;;;;;;;4er;           6.247;à;              49,20;3er + ZZ;           9.068;à;              15,20;3er;         102.465;à;               5,40;ZZ;         346.921;à;               1,20;
11.10.;aufsteigend;5;13;26;29;33;41;ZZ;40;6er;4JP;;       4.368.975,50;5er + ZZ;               6;à;          30.044,60;5er;             185;à;           1.063,00;4er + ZZ;             377;à;             156,40;
11.10.;;;;;;;;;;4er;           8.115;à;              40,30;3er + ZZ;           9.080;à;              16,20;3er;         120.669;à;               4,90;ZZ;         326.413;à;               1,20;
15.10.;aufsteigend;6;7;9;14;28;44;ZZ;2;6er;5JP;;       6.122.295,70;5er + ZZ;               5;à;          48.216,30;5er;             216;à;           1.217,50;4er + ZZ;             656;à;             120,20;
15.10.;;;;;;;;;;4er;          10.436;à;              42,00;3er + ZZ;          15.137;à;              13,00;3er;         166.585;à;               4,70;ZZ;         446.356;à;               1,20;
18.10.;aufsteigend;14;16;19;22;39;41;ZZ;10;6er;               1;à;       8.363.617,60;5er + ZZ;               6;à;          51.363,60;5er;             230;à;           1.461,70;4er + ZZ;             582;à;             173,20;
18.10.;;;;;;;;;;4er;          11.162;à;              50,10;3er + ZZ;          16.022;à;              15,70;3er;         187.145;à;               5,40;ZZ;         633.695;à;               1,20;
22.10.;aufsteigend;7;30;31;36;38;39;ZZ;12;6er;               1;à;       1.000.000,00;5er + ZZ;               3;à;          39.111,30;5er;              91;à;           1.406,60;4er + ZZ;             185;à;             207,50;
22.10.;;;;;;;;;;4er;           4.128;à;              51,60;3er + ZZ;           5.430;à;              17,60;3er;          65.829;à;               5,80;ZZ;         247.165;à;               1,20;
25.10.;aufsteigend;8;18;21;32;35;36;ZZ;9;6er;JP;;         736.891,80;5er + ZZ;               2;à;          50.661,30;5er;             103;à;           1.073,10;4er + ZZ;             202;à;             164,10;
25.10.;;;;;;;;;;4er;           4.059;à;              45,30;3er + ZZ;           5.465;à;              15,10;3er;          62.186;à;               5,30;ZZ;         228.569;à;               1,20;
29.10.;aufsteigend;4;9;24;26;29;33;ZZ;41;6er;               1;à;       1.680.225,20;5er + ZZ;               3;à;          43.236,10;5er;             131;à;           1.080,10;4er + ZZ;             284;à;             149,40;
29.10.;;;;;;;;;;4er;           5.746;à;              41,00;3er + ZZ;           7.589;à;              13,90;3er;          89.750;à;               4,70;ZZ;         221.214;à;               1,20;
01.11.;aufsteigend;1;3;4;27;33;35;ZZ;10;6er;JP;;         692.084,30;5er + ZZ;               5;à;          19.032,30;5er;              55;à;           1.887,50;4er + ZZ;             238;à;             130,80;
01.11.;;;;;;;;;;4er;           3.509;à;              49,30;3er + ZZ;           6.199;à;              12,50;3er;          64.536;à;               4,80;ZZ;         187.788;à;               1,20;
05.11.;aufsteigend;5;8;16;19;22;40;ZZ;36;6er;DJP;;       1.761.961,70;5er + ZZ;               1;à;         147.108,10;5er;             141;à;           1.138,10;4er + ZZ;             334;à;             144,10;
05.11.;;;;;;;;;;4er;           6.958;à;              38,40;3er + ZZ;           7.699;à;              15,60;3er;         105.112;à;               4,60;ZZ;         256.663;à;               1,20;
08.11.;aufsteigend;15;18;20;29;30;41;ZZ;25;6er;               1;à;       2.843.645,70;5er + ZZ;               3;à;          49.577,10;5er;             111;à;           1.461,70;4er + ZZ;             286;à;             170,10;
08.11.;;;;;;;;;;4er;           5.471;à;              49,40;3er + ZZ;           7.725;à;              15,70;3er;          89.994;à;               5,40;ZZ;         272.772;à;               1,20;
12.11.;aufsteigend;2;17;34;40;43;44;ZZ;1;6er;JP;;         843.518,80;5er + ZZ;               3;à;          38.661,20;5er;              87;à;           1.454,30;4er + ZZ;             218;à;             174,10;
12.11.;;;;;;;;;;4er;           4.240;à;              49,70;3er + ZZ;           5.545;à;              17,10;3er;          71.185;à;               5,30;ZZ;         239.245;à;               1,20;
15.11.;aufsteigend;2;5;7;19;27;40;ZZ;6;6er;               3;à;         594.988,40;5er + ZZ;              11;à;          11.768,00;5er;             190;à;             743,20;4er + ZZ;             459;à;              92,20;
15.11.;;;;;;;;;;4er;           7.182;à;              32,70;3er + ZZ;           9.408;à;              11,20;3er;          98.415;à;               4,30;ZZ;         257.006;à;               1,20;
19.11.;aufsteigend;2;14;19;23;40;41;ZZ;31;6er;JP;;         833.446,00;5er + ZZ;               1;à;         114.598,80;5er;              80;à;           1.562,70;4er + ZZ;             209;à;             179,40;
19.11.;;;;;;;;;;4er;           4.179;à;              49,80;3er + ZZ;           5.378;à;              17,40;3er;          69.650;à;               5,40;ZZ;         201.941;à;               1,20;
22.11.;aufsteigend;1;3;6;12;16;42;ZZ;40;6er;DJP;;       1.757.806,70;5er + ZZ;               2;à;          63.549,70;5er;             144;à;             962,80;4er + ZZ;             261;à;             159,30;
22.11.;;;;;;;;;;4er;           6.187;à;              37,30;3er + ZZ;           6.635;à;              15,60;3er;          96.608;à;               4,30;ZZ;         226.871;à;               1,20;
26.11.;aufsteigend;1;4;6;23;30;45;ZZ;32;6er;3JP;;       2.908.974,00;5er + ZZ;               1;à;         158.285,50;5er;             170;à;           1.015,70;4er + ZZ;             317;à;             163,40;
26.11.;;;;;;;;;;4er;           6.797;à;              42,30;3er + ZZ;           7.511;à;              17,20;3er;         108.983;à;               4,70;ZZ;         290.983;à;               1,20;
29.11.;aufsteigend;5;11;15;20;21;26;ZZ;25;6er;               1;à;       4.174.727,30;5er + ZZ;               1;à;         174.041,00;5er;             176;à;           1.078,70;4er + ZZ;             430;à;             132,40;
29.11.;;;;;;;;;;4er;           7.744;à;              40,80;3er + ZZ;          10.360;à;              13,70;3er;         121.585;à;               4,70;ZZ;         306.903;à;               1,20;
03.12.;aufsteigend;3;15;23;30;33;37;ZZ;42;6er;JP;;         838.999,80;5er + ZZ;               5;à;          23.072,40;5er;             100;à;           1.258,40;4er + ZZ;             266;à;             141,90;
03.12.;;;;;;;;;;4er;           5.118;à;              40,90;3er + ZZ;           5.813;à;              16,20;3er;          74.839;à;               5,00;ZZ;         203.479;à;               1,20;
06.12.;aufsteigend;15;26;31;39;43;44;ZZ;2;6er;DJP;;       1.790.119,60;5er + ZZ;               3;à;          43.592,90;5er;             103;à;           1.385,10;4er + ZZ;             260;à;             164,60;
06.12.;;;;;;;;;;4er;           5.124;à;              46,40;3er + ZZ;           6.302;à;              16,90;3er;          79.993;à;               5,30;ZZ;         274.303;à;               1,20;
10.12.;aufsteigend;7;11;21;22;25;37;ZZ;3;6er;3JP;;       2.881.657,90;5er + ZZ;               6;à;          25.014,40;5er;             118;à;           1.387,50;4er + ZZ;             391;à;             125,60;
10.12.;;;;;;;;;;4er;           6.060;à;              45,00;3er + ZZ;           9.888;à;              12,40;3er;          97.072;à;               5,00;ZZ;         312.074;à;               1,20;
13.12.;aufsteigend;2;5;10;25;28;42;ZZ;36;6er;4JP;;       4.191.061,80;5er + ZZ;               4;à;          45.010,70;5er;             167;à;           1.176,10;4er + ZZ;             418;à;             140,90;
13.12.;;;;;;;;;;4er;           8.137;à;              40,20;3er + ZZ;           9.340;à;              15,70;3er;         125.462;à;               4,70;ZZ;         322.596;à;               1,20;
17.12.;aufsteigend;11;27;28;31;36;37;ZZ;33;6er;5JP;;       5.836.617,50;5er + ZZ;               2;à;         113.131,90;5er;             165;à;           1.495,90;4er + ZZ;             398;à;             186,00;
17.12.;;;;;;;;;;4er;           8.036;à;              51,10;3er + ZZ;          10.836;à;              17,00;3er;         136.745;à;               5,40;ZZ;         446.931;à;               1,20;
20.12.;aufsteigend;13;33;34;35;36;39;ZZ;23;6er;6JP;;       8.050.489,50;5er + ZZ;              12;à;          25.367,20;5er;             298;à;           1.114,30;4er + ZZ;             620;à;             160,60;
20.12.;;;;;;;;;;4er;          12.745;à;              43,40;3er + ZZ;          16.089;à;              15,40;3er;         184.754;à;               5,40;ZZ;         584.159;à;               1,20;
24.12.;aufsteigend;7;8;14;33;38;40;ZZ;2;6er;               2;à;       6.118.478,40;5er + ZZ;              11;à;          52.330,80;5er;             428;à;           1.467,20;4er + ZZ;           1.143;à;             164,80;
24.12.;;;;;;;;;;4er;          21.973;à;              47,60;3er + ZZ;          29.709;à;              15,80;3er;         363.816;à;               5,20;ZZ;       1.103.387;à;               1,20;
27.12.;aufsteigend;3;5;26;31;35;41;ZZ;22;6er;JP;;         710.195,00;5er + ZZ;               4;à;          24.412,90;5er;              72;à;           1.479,50;4er + ZZ;             208;à;             153,60;
27.12.;;;;;;;;;;4er;           3.739;à;              47,40;3er + ZZ;           5.077;à;              15,70;3er;          62.153;à;               5,10;ZZ;         186.186;à;               1,20;
31.12.;aufsteigend;10;22;33;37;43;45;ZZ;31;6er;               1;à;       2.113.645,10;5er + ZZ;               6;à;          32.162,30;5er;             144;à;           1.461,90;4er + ZZ;             349;à;             180,90;
31.12.;;;;;;;;;;4er;           7.568;à;              46,30;3er + ZZ;           8.935;à;              17,60;3er;         120.974;à;               5,20;ZZ;         349.794;à;               1,20;
